Age,Gender,edu_level,EP1,EP2,EP3,EP4,EP5,SCTB1,SCTB2,SCTB3,SCTB4,SCTB5,CR1,CR2,CR3,T1,T2,T3,T4,PS1,PS2,PS3,PS4,PS5
21,2,4,2,2,3,3,5,1,1,1,1,4,3,2,1,3,2,3,4,3,3,3,3,3
26,1,4,4,5,5,4,4,1,2,1,1,1,5,3,3,5,5,5,5,5,5,5,3,3
20,2,4,5,5,5,5,5,5,5,1,1,5,5,5,5,4,3,5,5,5,5,5,5,5
18,2,4,5,5,5,5,5,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
21,2,4,3,4,4,4,3,5,2,3,3,3,4,4,5,4,3,3,4,4,4,4,3,3
21,2,3,5,5,5,5,5,1,1,1,2,1,3,5,3,4,3,5,5,5,5,2,4,5
20,2,4,5,5,5,5,4,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
21,2,3,4,4,5,4,5,3,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,5
20,1,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,1
23,1,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5
25,2,3,5,5,5,5,5,5,5,5,5,5,3,5,3,5,4,4,5,3,4,4,4,4
23,2,4,3,4,4,4,4,1,2,3,3,3,3,3,4,4,4,5,4,3,4,4,3,4
19,2,4,5,5,5,5,1,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5
29,1,5,3,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4
23,1,4,4,5,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4
21,1,4,5,3,5,5,5,1,1,1,2,3,3,5,4,4,4,5,5,4,5,5,5,5
23,2,4,5,5,5,5,5,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5
20,2,4,5,5,5,5,5,5,1,5,5,2,4,5,5,5,4,5,5,5,4,5,5,5
23,2,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
19,2,3,2,4,4,3,4,3,4,2,4,4,4,4,4,5,5,4,5,4,5,5,4,4
19,1,3,5,5,5,4,4,4,2,5,4,5,4,3,4,5,5,4,5,4,5,3,5,5
36,2,4,5,5,5,5,5,1,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5
41,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
21,2,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5
20,2,4,4,5,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
19,2,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5
19,2,4,3,4,4,4,4,3,2,2,2,2,3,3,4,3,3,3,4,3,4,4,4,4
21,1,4,4,5,4,5,4,4,3,1,1,3,4,3,4,4,3,4,4,4,4,3,4,3
